Date,Day,Description
2016-11-14,Monday,Gurunanak Jayanti
2016-12-25,Sunday,Christmas
2017-01-26,Thursday,Republic Day
2017-02-24,Friday,Mahashivratri
2017-03-13,Monday,Holi
2017-04-04,Tuesday,Ram Navami
2017-04-09,Sunday,Mahavir Jayanti
2017-04-14,Friday,Good Friday /  Dr.Baba Saheb Ambedkar Jayanti
2017-05-01,Monday,Maharashtra Day
2017-06-26,Monday,Id-Ul-Fitr (Ramzan ID)
2017-08-15,Tuesday,Independence Day
2017-08-25,Friday,Ganesh Chaturthi
2017-09-02,Saturday,Bakri ID
2017-09-30,Saturday,Dasera
2017-10-01,Sunday,Moharram
2017-10-02,Monday,Mahatama Gandhi Jayanti
2017-10-19,Thursday,Diwali-Laxmi Pujan*
2017-10-20,Friday,Diwali-Balipratipada
2017-11-04,Saturday,Gurunanak Jayanti
2017-12-25,Monday,Christmas
2018-01-26,Friday,Republic Day
2018-02-13,Tuesday,Mahashivratri
2018-03-02,Friday,Holi
2018-03-25,Sunday,Ram Navami
2018-03-29,Thursday,Mahavir Jayanti
2018-03-30,Friday,Good Friday
2018-04-14,Saturday,Dr.Baba Saheb Ambedkar Jayanti
2018-05-01,Tuesday,Maharashtra Day
2018-06-16,Saturday,Id-Ul-Fitr (Ramzan ID)
2018-08-15,Wednesday,Independence Day
2018-08-22,Wednesday,Bakri ID
2018-09-13,Thursday,Ganesh Chaturthi
2018-09-20,Thursday,Moharram
2018-10-02,Tuesday,Mahatama Gandhi Jayanti
2018-10-18,Thursday,Dasera
2018-11-07,Wednesday,Diwali-Laxmi Pujan*
2018-11-08,Thursday,Diwali-Balipratipada
2018-11-23,Friday,Gurunanak Jayanti
2018-12-25,Tuesday,Christmas
2019-01-26,Saturday,Republic Day
2019-03-04,Monday,Mahashivratri
2019-03-21,Thursday,Holi
2019-04-13,Saturday,Ram Navami
2019-04-14,Sunday,Dr.Baba Saheb Ambedkar Jayanti
2019-04-17,Wednesday,Mahavir Jayanti
2019-04-19,Friday,Good Friday
2019-04-29,Monday,Parliamentary Elections in Mumbai
2019-05-01,Wednesday,Maharashtra Day
2019-06-05,Wednesday,Id-Ul-Fitr (Ramzan ID)
2019-08-12,Monday,Bakri Id
2019-08-15,Thursday,Independence Day
2019-09-02,Monday,Ganesh Chaturthi
2019-09-10,Tuesday,Moharram
2019-10-02,Wednesday,Mahatma Gandhi Jayanti
2019-10-08,Tuesday,Dasera
2019-10-21,Monday,Assembly Elections in Maharashtra
2019-10-27,Sunday,Diwali-Laxmi Pujan*
2019-10-28,Monday,Diwali-Balipratipada
2019-11-12,Tuesday,Gurunanak Jayanti
2019-12-25,Wednesday,Christmas
2020-01-26,Sunday,Republic Day
2020-02-21,Friday,Mahashivratri
2020-03-10,Tuesday,Holi
2020-04-02,Thursday,Ram Navami
2020-04-06,Monday,Mahavir Jayanti
2020-04-10,Friday,Good Friday
2020-04-14,Tuesday,Dr.Baba Saheb Ambedkar Jayanti
2020-05-01,Friday,Maharashtra Day
2020-05-25,Monday,Id-Ul-Fitr (Ramzan ID)
2020-08-01,Saturday,Bakri Id
2020-08-15,Saturday,Independence Day
2020-08-22,Saturday,Ganesh Chaturthi
2020-08-30,Sunday,Moharram
2020-10-02,Friday,Mahatma Gandhi Jayanti
2020-10-25,Sunday,Dasera
2020-11-14,Saturday,Diwali-Laxmi Pujan*
2020-11-16,Monday,Diwali-Balipratipada
2020-11-30,Monday,Gurunanak Jayanti
2020-12-25,Friday,Christmas
2021-01-26,Tuesday,Republic Day
2021-03-11,Thursday,Mahashivratri
2021-03-29,Monday,Holi
2021-04-02,Friday,Good Friday
2021-04-14,Wednesday,Dr.Baba Saheb Ambedkar Jayanti
2021-04-21,Wednesday,Ram Navami
2021-04-25,Sunday,Mahavir Jayanti
2021-05-01,Saturday,Maharashtra Day
2021-05-13,Thursday,Id-Ul-Fitr (Ramzan ID)
2021-07-21,Wednesday,Bakri Id
2021-08-15,Sunday,Independence Day
2021-08-19,Thursday,Moharram
2021-09-10,Friday,Ganesh Chaturthi
2021-10-02,Saturday,Mahatma Gandhi Jayanti
2021-10-15,Friday,Dussehra
2021-11-04,Thursday,Diwali-Laxmi Pujan*
2021-11-05,Friday,Diwali-Balipratipada
2021-11-19,Friday,Gurunanak Jayanti
2021-12-25,Saturday,Christmas
2022-01-26,Wednesday,Republic Day
2022-03-01,Tuesday,Mahashivratri
2022-03-18,Friday,Holi
2022-04-10,Sunday,Ram Navami
2022-04-14,Thursday,"Dr. Baba Saheb Ambedkar Jayanti/
Mahavir Jayanti"
2022-04-15,Friday,Good Friday
2022-05-01,Sunday,Maharashtra Day
2022-05-03,Tuesday,Id-Ul-Fitr (Ramzan ID)
2022-07-10,Sunday,Bakri Id
2022-08-09,Tuesday,Moharram
2022-08-15,Monday,Independence Day
2022-08-31,Wednesday,Ganesh Chaturthi
2022-10-02,Sunday,Mahatma Gandhi Jayanti
2022-10-05,Wednesday,Dussehra
2022-10-24,Monday,Diwali-Laxmi Pujan*
2022-10-26,Wednesday,Diwali-Balipratipada
2022-11-08,Tuesday,Gurunanak Jayanti
2022-12-25,Sunday,Christmas
2023-01-26,Thursday,Republic Day
2023-02-18,Saturday,Mahashivratri
2023-03-07,Tuesday,Holi
2023-03-30,Thursday,Ram Navami
2023-04-04,Tuesday,Mahavir Jayanti
2023-04-07,Friday,Good Friday
2023-04-14,Friday,Dr. Baba Saheb Ambedkar Jayanti
2023-04-22,Saturday,Id-Ul-Fitr (Ramzan ID)
2023-05-01,Monday,Maharashtra Day
2023-06-29,Wednesday,Bakri Id
2023-07-29,Saturday,Moharram
2023-08-15,Tuesday,Independence Day
2023-09-19,Tuesday,Ganesh Chaturthi
2023-10-02,Monday,Mahatma Gandhi Jayanti
2023-10-24,Tuesday,Dussehra
2023-11-12,Sunday,Diwali-Laxmi Pujan*
2023-11-14,Tuesday,Diwali-Balipratipada
2023-11-27,Monday,Gurunanak Jayanti
2023-12-25,Monday,Christmas
2024-01-22,Monday,Special Holiday
2024-01-26,Friday,Republic Day
2024-03-08,Friday,Mahashivratri
2024-03-25,Monday,Holi
2024-03-29,Friday,Good Friday
2024-04-11,Thursday,Id-Ul-Fitr (Ramadan Eid)
2024-04-14,Sunday,Dr. Baba Saheb Ambedkar Jayanti
2024-04-17,Wednesday,Shri Ram Navmi
2024-04-21,Sunday,Shri Mahavir Jayanti
2024-05-01,Wednesday,Maharashtra Day
2024-06-17,Monday,Bakri Id
2024-07-17,Wednesday,Moharram
2024-08-15,Thursday,Independence Day
2024-09-07,Saturday,Ganesh Chaturthi
2024-10-02,Wednesday,Mahatma Gandhi Jayanti
2024-10-12,Saturday,Dussehra
2024-11-01,Friday,Diwali Laxmi Pujan*
2024-11-02,Saturday,Diwali-Balipratipada
2024-11-15,Friday,Gurunanak Jayanti
2024-12-25,Wednesday,Christmas
